epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.3373,2.384,15.4075,2.41143,0.11113,0.3,0.05818,0.01225,2.61738,7.90956,2.57001,0.00018,6e-05,0.00018,6e-05,0.00018,6e-05,0.00018,6e-05
2,14.8499,2.29234,9.57817,2.344,0.18615,0.3,0.08434,0.01808,2.71089,8.21892,2.62557,0.000415842,0.000138614,0.000415842,0.000138614,0.000415842,0.000138614,0.000415842,0.000138614
3,17.6229,2.4525,9.16731,2.4175,0.199,0.3,0.07109,0.02006,2.66965,8.36359,2.62168,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644
4,19.6576,2.32958,6.74469,2.31541,0.09379,0.2,0.07166,0.02108,2.57805,8.35869,2.55681,0.00087327,0.00029109,0.00087327,0.00029109,0.00087327,0.00029109,0.00087327,0.00029109
5,21.5553,2.38582,4.85762,2.39793,0.17497,0.34056,0.086,0.02138,2.55271,8.18773,2.51231,0.00109486,0.000364952,0.00109486,0.000364952,0.00109486,0.000364952,0.00109486,0.000364952
6,23.5302,2.46733,4.60933,2.42632,0.17478,0.4,0.08388,0.02914,2.53783,8.51691,2.54397,0.00131169,0.00043723,0.00131169,0.00043723,0.00131169,0.00043723,0.00131169,0.00043723
7,25.3566,2.31575,4.59616,2.26069,0.21366,0.3,0.10632,0.03892,2.48893,7.78016,2.44912,0.00152377,0.000507924,0.00152377,0.000507924,0.00152377,0.000507924,0.00152377,0.000507924
8,27.3199,2.18073,3.80269,2.17945,0.20489,0.3,0.14543,0.0501,2.34337,7.38578,2.28349,0.0017311,0.000577034,0.0017311,0.000577034,0.0017311,0.000577034,0.0017311,0.000577034
9,29.1682,2.14701,3.53044,2.2895,0.1936,0.3,0.16277,0.07539,2.24942,5.8811,2.22536,0.00193368,0.00064456,0.00193368,0.00064456,0.00193368,0.00064456,0.00193368,0.00064456
10,31.0666,2.02937,3.45409,2.08296,0.21054,0.3,0.17951,0.08557,2.12166,5.1272,2.17284,0.00213151,0.000710502,0.00213151,0.000710502,0.00213151,0.000710502,0.00213151,0.000710502
11,32.8608,1.94001,2.98094,1.99239,0.28641,0.5227,0.22569,0.11263,2.15278,4.82321,2.22324,0.00232458,0.00077486,0.00232458,0.00077486,0.00232458,0.00077486,0.00232458,0.00077486
12,34.7047,1.83195,2.87171,1.97522,0.30458,0.6581,0.25786,0.11709,2.11716,4.3268,2.21041,0.0025129,0.000837634,0.0025129,0.000837634,0.0025129,0.000837634,0.0025129,0.000837634
13,36.7098,1.79791,2.72296,1.91646,0.28302,0.7,0.30497,0.13815,2.07559,3.8125,2.17921,0.00269647,0.000898824,0.00269647,0.000898824,0.00269647,0.000898824,0.00269647,0.000898824
14,38.4563,2.07275,2.76649,2.22573,0.31533,0.4,0.25437,0.12355,2.06335,3.53472,2.10163,0.00287529,0.00095843,0.00287529,0.00095843,0.00287529,0.00095843,0.00287529,0.00095843
15,40.2239,1.72336,2.42947,1.87911,0.28118,0.5,0.28376,0.12435,2.05874,3.21275,2.13744,0.00304936,0.00101645,0.00304936,0.00101645,0.00304936,0.00101645,0.00304936,0.00101645
16,42.0662,1.58709,2.37019,1.8086,0.29367,0.6,0.3663,0.16983,2.07525,2.97063,2.17193,0.00321867,0.00107289,0.00321867,0.00107289,0.00321867,0.00107289,0.00321867,0.00107289
17,43.737,1.55688,2.1763,1.73807,0.27022,0.4,0.39355,0.19295,2.12204,2.8582,2.22639,0.00338323,0.00112774,0.00338323,0.00112774,0.00338323,0.00112774,0.00338323,0.00112774
18,45.5067,1.74903,2.14688,1.86069,0.32496,0.67488,0.44625,0.24672,2.14443,2.64254,2.18671,0.00354304,0.00118101,0.00354304,0.00118101,0.00354304,0.00118101,0.00354304,0.00118101
19,47.3716,1.64716,2.10744,1.7587,0.68966,0.4,0.47483,0.24624,2.14081,2.46957,2.11954,0.0036981,0.0012327,0.0036981,0.0012327,0.0036981,0.0012327,0.0036981,0.0012327
20,49.004,1.74644,2.09,1.86474,0.88467,0.4,0.56019,0.27668,2.1913,2.40427,2.11744,0.00384841,0.0012828,0.00384841,0.0012828,0.00384841,0.0012828,0.00384841,0.0012828
21,50.7496,1.49706,1.91671,1.69667,0.66279,0.5,0.56521,0.27853,2.11428,2.01592,2.06958,0.00399396,0.00133132,0.00399396,0.00133132,0.00399396,0.00133132,0.00399396,0.00133132
22,52.8356,1.60494,1.94436,1.75521,0.66935,0.5,0.56411,0.23369,2.17269,1.94421,2.08752,0.00413476,0.00137825,0.00413476,0.00137825,0.00413476,0.00137825,0.00413476,0.00137825
23,54.5112,1.46383,1.84051,1.59417,0.57278,0.6,0.54108,0.18908,2.16691,1.93652,2.08404,0.00427081,0.0014236,0.00427081,0.0014236,0.00427081,0.0014236,0.00427081,0.0014236
24,56.303,1.49853,1.95025,1.67586,0.54782,0.5,0.447,0.13971,2.14651,1.98115,2.08261,0.00440211,0.00146737,0.00440211,0.00146737,0.00440211,0.00146737,0.00440211,0.00146737
25,57.9879,1.49245,1.78267,1.61372,0.47639,0.7,0.46993,0.16723,2.12607,1.939,2.04956,0.00452866,0.00150955,0.00452866,0.00150955,0.00452866,0.00150955,0.00452866,0.00150955
26,59.609,1.49757,1.8685,1.64052,0.47314,0.6,0.42287,0.1634,2.15757,1.99404,2.09075,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,61.2294,1.54698,2.01863,1.67458,0.48332,0.65663,0.41252,0.14365,2.17849,2.00333,2.13271,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,63.082,1.50238,1.81561,1.57433,0.5186,0.64836,0.43218,0.1598,2.06928,1.95826,2.14204,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
